timestamp;node;renewable_share;score;pods
2021/10/14 10:45:27 ;ip-172-20-58-122.ec2.internal;886.30;9;0
2021/10/14 10:45:27 ;ip-172-20-73-221.ec2.internal;982.40;10;1
2021/10/14 10:45:27 ;ip-172-20-49-155.ec2.internal;746.10;7;0
2021/10/14 10:46:27 ;ip-172-20-73-221.ec2.internal;1164.90;9;0
2021/10/14 10:46:27 ;ip-172-20-49-155.ec2.internal;852.00;7;0
2021/10/14 10:46:27 ;ip-172-20-58-122.ec2.internal;1195.60;10;1
2021/10/14 10:47:27 ;ip-172-20-49-155.ec2.internal;1428.30;10;1
2021/10/14 10:47:27 ;ip-172-20-58-122.ec2.internal;661.50;4;0
2021/10/14 10:47:27 ;ip-172-20-73-221.ec2.internal;1114.60;7;0
2021/10/14 10:48:27 ;ip-172-20-49-155.ec2.internal;768.20;7;0
2021/10/14 10:48:27 ;ip-172-20-58-122.ec2.internal;1019.20;9;0
2021/10/14 10:48:27 ;ip-172-20-73-221.ec2.internal;1078.60;10;1
2021/10/14 10:49:27 ;ip-172-20-49-155.ec2.internal;874.10;9;0
2021/10/14 10:49:27 ;ip-172-20-58-122.ec2.internal;737.70;8;0
2021/10/14 10:49:27 ;ip-172-20-73-221.ec2.internal;893.70;10;1
2021/10/14 10:50:27 ;ip-172-20-73-221.ec2.internal;2281.50;8;0
2021/10/14 10:50:27 ;ip-172-20-49-155.ec2.internal;1088.50;4;0
2021/10/14 10:50:27 ;ip-172-20-58-122.ec2.internal;2574.60;10;1
2021/10/14 10:51:27 ;ip-172-20-49-155.ec2.internal;2086.40;5;0
2021/10/14 10:51:27 ;ip-172-20-58-122.ec2.internal;3411.10;9;0
2021/10/14 10:51:27 ;ip-172-20-73-221.ec2.internal;3518.90;10;1
2021/10/14 10:52:27 ;ip-172-20-49-155.ec2.internal;3443.10;10;1
2021/10/14 10:52:27 ;ip-172-20-58-122.ec2.internal;1966.90;5;0
2021/10/14 10:52:27 ;ip-172-20-73-221.ec2.internal;3325.90;9;0
2021/10/14 10:53:27 ;ip-172-20-49-155.ec2.internal;4494.70;10;1
2021/10/14 10:53:27 ;ip-172-20-58-122.ec2.internal;1427.00;3;0
2021/10/14 10:53:27 ;ip-172-20-73-221.ec2.internal;3831.80;8;0
2021/10/14 10:54:27 ;ip-172-20-49-155.ec2.internal;7363.50;10;1
2021/10/14 10:54:27 ;ip-172-20-58-122.ec2.internal;1381.80;1;0
2021/10/14 10:54:27 ;ip-172-20-73-221.ec2.internal;5889.50;7;0
2021/10/14 10:55:27 ;ip-172-20-73-221.ec2.internal;6631.80;7;0
2021/10/14 10:55:27 ;ip-172-20-49-155.ec2.internal;8412.70;10;1
2021/10/14 10:55:27 ;ip-172-20-58-122.ec2.internal;2019.80;2;0
2021/10/14 10:56:27 ;ip-172-20-73-221.ec2.internal;6402.40;7;0
2021/10/14 10:56:27 ;ip-172-20-49-155.ec2.internal;8472.70;10;1
2021/10/14 10:56:27 ;ip-172-20-58-122.ec2.internal;2219.80;2;0
2021/10/14 10:57:27 ;ip-172-20-49-155.ec2.internal;8223.20;10;1
2021/10/14 10:57:27 ;ip-172-20-58-122.ec2.internal;2082.80;2;0
2021/10/14 10:57:27 ;ip-172-20-73-221.ec2.internal;6054.50;7;0
2021/10/14 10:58:27 ;ip-172-20-49-155.ec2.internal;8009.80;10;1
2021/10/14 10:58:27 ;ip-172-20-58-122.ec2.internal;2590.40;3;0
2021/10/14 10:58:27 ;ip-172-20-73-221.ec2.internal;6616.20;8;0
2021/10/14 10:59:27 ;ip-172-20-49-155.ec2.internal;8543.80;10;1
2021/10/14 10:59:27 ;ip-172-20-58-122.ec2.internal;2953.50;3;0
2021/10/14 10:59:27 ;ip-172-20-73-221.ec2.internal;7001.80;8;0
